"dep","geo","crime_severity_index","population","authorized_police_strength_per_100000","police_officers_per_100000","total_police_officers"
"2021A002510500","St. John's, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal",67.86,209936,164.8,164.8,346
"2021A002510501","Labrador, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal",29.42,10128,177.7,177.7,18
"2021A002510502","Corner Brook, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal",73.51,19037,252.1,210.1,40
"2021A002511001","Cornwall, Prince Edward Island, Royal Canadian Mounted Police, municipal",41.17,6369,62.8,62.8,4
"2021A002511002","Charlottetown, Prince Edward Island, municipal",62.25,42793,140.2,140.2,60
"2021A002511007","Summerside, Prince Edward Island, municipal",106.36,15983,200.2,200.2,32
"2021A002511009","Kensington, Prince Edward Island, municipal",36.81,2196,409.8,409.8,9
"2021A002511714","Stratford, Prince Edward Island, Royal Canadian Mounted Police, municipal",32.33,11744,42.6,42.6,5
"2021A002512001","Amherst, Nova Scotia, municipal",143.32,9733,246.6,246.6,24
"2021A002512006","Bridgewater, Nova Scotia, municipal",72.52,9042,276.5,276.5,25
"2021A002512018","Cape Breton Region, Nova Scotia, municipal",60.38,94921,210.7,210.7,200
"2021A002512023","Kentville, Nova Scotia, municipal",76,6703,253.6,253.6,17
"2021A002512044","Stellarton, Nova Scotia, municipal",113.41,4119,267.1,267.1,11
"2021A002512052","Truro, Nova Scotia, municipal",83.9,13193,272.9,272.9,36
"2021A002512054","Westville, Nova Scotia, municipal",94.43,3585,251,167.4,6
"2021A002512058","New Glasgow, Nova Scotia, municipal",154.46,11942,301.5,293.1,35
"2021A002512752","Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",140.55,4703,191.4,191.4,9
"2021A002512776","Pictou, Nova Scotia, Royal Canadian Mounted Police, municipal",116.07,3293,212.6,212.6,7
"2021A002512834","Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",150.49,6866,262.2,233,16
"2021A002512836","Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",196.72,1597,250.5,250.5,4
"2021A002513001","Bathurst, New Brunswick, municipal",103.28,12250,253.1,253.1,31
"2021A002513006","Edmundston, New Brunswick, municipal",71.2,16781,196.7,190.7,32
"2021A002513007","Fredericton, New Brunswick, municipal",92.32,65293,166.9,166.9,109
"2021A002513008","Sackville, New Brunswick, Royal Canadian Mounted Police, municipal",90.88,5987,167,167,10
"2021A002513012","Grand Falls, New Brunswick, municipal",63.1,5267,303.8,303.8,16
